,gecko_id,Master Category,category,Subcategory,missing_data,discount_rate,token_value_accrual,moat,tam,leadership,tva_multiplier,S_raw,P_original,unlock_adjustment,unlock_adjustment_pct,P,S,G,G_metric_used,P_to_S,P_to_SG,P_to_S_risk_adj,valuation_ratio,valuation_method,fundamental_score,Moat,TAM,Leadership,Token Value Accrual,Liquidity,Inflation Expectations,Market Leadership,competitive_dynamics,blended_points,in_selected,discount,final_quality_score,is_stock_proxy,stock_close_latest,stock_volume_latest,stock_mcap_latest,weight
74,havven,Finance,Perps,Perps,No discount rate; ,,2.5,1.0,0.0,2.0,0.5,15701.049723756907,109199780.0,27066973.52259134,24.786655726404707,136266753.52259135,7850.5248618784535,-2.0277777777777777,fees_growth,17357.661547483563,-16888.53555971374,,17357.661547483563,P/S (G missing/≤0),2.0,1.0,0.0,2.0,2.5,2,5.0,,,,False,0.125,,False,,,,0.0
75,litecoin,Base Layer,L1,L1,No discount rate; ,,3.5,1.0,0.0,2.0,0.7,242230.93922651935,4260252627.0,89901206.05714287,2.1102318084937095,4350153833.057143,169561.65745856354,-0.5711891628373221,tvl_growth,25655.291993829487,59828.926347998626,,25655.291993829487,P/S (G missing/≤0),2.0,1.0,0.0,2.0,3.5,5,5.0,,,,False,0.15000000000000002,,False,,,,0.0
76,vaulta,Base Layer,L1,L1,No growth metrics; No discount rate; ,,2.0,1.0,0.0,2.0,0.4,,146044057.0,0.0,0.0,146044057.0,1.0,,,146044057.0,,,146044057.0,P/S (G missing/≤0),2.0,1.0,0.0,2.0,2.0,2,5.0,,,,False,0.17500000000000002,,False,,,,0.0
77,render-token,Infra,AI,Compute,No growth metrics; No discount rate; ,,3.0,3.0,0.0,3.0,0.6,,939981490.0,0.0,0.0,939981490.0,1.0,,,939981490.0,,,939981490.0,P/S (G missing/≤0),1.0,3.0,0.0,3.0,3.0,4,5.0,,,,False,0.25,,False,,,,0.0
78,fetch-ai,Infra,AI,Agent Protocol,No growth metrics; No discount rate; ,,2.5,2.0,0.0,2.0,0.5,,475380724.0,0.0,0.0,475380724.0,1.0,,,475380724.0,,,475380724.0,P/S (G missing/≤0),1.0,2.0,0.0,2.0,2.5,4,5.0,,,,False,0.2,,False,,,,0.0
79,vechain,Base Layer,L1,L1,No discount rate; ,,2.75,1.0,0.0,3.0,0.55,,616673366.0,0.0,0.0,616673366.0,1.0,-1.1431605400834397,tvl_growth,616673366.0,-4307565238.581652,,616673366.0,P/S (G missing/≤0),1.0,1.0,0.0,3.0,2.75,2,5.0,,,,False,0.225,,False,,,,0.0
80,blockstack,Base Layer,L1,L1,No growth metrics; No discount rate; ,,3.0,1.0,0.0,3.0,0.6,,413336545.0,0.0,0.0,413336545.0,1.0,,,413336545.0,,,413336545.0,P/S (G missing/≤0),1.0,1.0,0.0,3.0,3.0,2,5.0,,,,False,0.2,,False,,,,0.0
81,pyth-network,Infra,Blockchain Infra,Oracle,No growth metrics; No discount rate; ,,3.0,3.0,0.0,3.0,0.6,,281645873.0,489550202.45,173.8176374592217,771196075.45,1.0,,,771196075.45,,,771196075.45,P/S (G missing/≤0),1.0,3.0,0.0,3.0,3.0,2,2.0,,,,False,0.225,,False,,,,0.0
82,kite-2,Base Layer,L1,L1,No growth metrics; No discount rate; ,,2.5,1.0,0.0,3.0,0.5,,268632493.0,0.0,0.0,268632493.0,1.0,,,268632493.0,,,268632493.0,P/S (G missing/≤0),1.0,1.0,0.0,3.0,2.5,5,5.0,,,,False,0.2,,False,,,,0.0
83,internet-computer,Base Layer,L1,L1,No growth metrics; No discount rate; ,,3.0,1.0,0.0,3.0,0.6,,1296063753.0,841654483.4000006,64.93928106945528,2137718236.4000006,1.0,,,2137718236.4000006,,,2137718236.4000006,P/S (G missing/≤0),1.0,1.0,0.0,3.0,3.0,4,5.0,,,,False,0.25,,False,,,,0.0
